,imagename,captions
95,Not_troll_168.jpg,pesama poriya illa munjila pottu vechi vidava..
96,Not_troll_169.jpg,No Captions
97,Not_troll_17.jpg,innumada idhaiyellam nambikittu irukinga..
98,Not_troll_170.jpg,when someone puts too many status for vijay birthday happy birthday thalapathy.. happy birthday vijay anna..     koppan mavane... oru status potta aagadha..  yaar pakkuranu ippidi ithana status pottukittu irukka...
99,Not_troll_171.jpg,pakka payn=angarama irukinga...
100,Not_troll_172.jpg,onnume puriyala vulagathula..
101,Not_troll_173.jpg,naan manasula nunachadhai apidiye sollitinga..
102,Not_troll_174.jpg,konjanenja pecha pesuna..
103,Not_troll_175.jpg,Give Respect! Take Respect!
104,Not_troll_176.jpg,yennaiya pesurane thavira seyalla onnuthaium katta matingiringa..
105,Not_troll_177.jpg,indha yosanai namkku yen thonala..
106,Not_troll_178.jpg,niyayatrukilammai oru naallavadhu nimmadhiya thongalamnu pattha anikkum pathu sikkirama mulippu vandhurudhe..
107,Not_troll_179.jpg,yen kilaradhinga appuram thanga maatinga..
108,Not_troll_18.jpg,No Captions
109,Not_troll_180.jpg,indha kelambitomla 2018kku
110,Not_troll_181.jpg,ivalo naala yengairundha chellam ni..
111,Not_troll_182.jpg,idhellam oru page ah??
112,Not_troll_183.jpg,inimel indha maadhiri post poduviya.?? poduviya..??
113,Not_troll_184.jpg,idhellam nalla illa solliten..
114,Not_troll_185.jpg,pasathula nammala minjiduvan polairukke...
115,Not_troll_186.jpg,goiyala
116,Not_troll_187.jpg,ore kavala dhaan... yenna seiya??
117,Not_troll_188.jpg,naan onnum pakkalainga...
118,Not_troll_189.jpg,pudhu varusham porandhuruchunu romba sandhosapadadha...  anga naan romba vukurama iruppen
119,Not_troll_19.jpg,idhu thirundhadha jenmam...
120,Not_troll_190.jpg,yendhapakkam ponalum ana katturaingale...
121,Not_troll_191.jpg,ohooo... apadi pogudha kadhai..  irukkatum irukkatum..
122,Not_troll_192.jpg,yenna sonamuthaa pocha..??
123,Not_troll_193.jpg,kovam vara madhiri comedy pannadhe...
124,Not_troll_194.jpg,romba kalaikkuraingale..
125,Not_troll_195.jpg,commentla yennaiya yepidiyellam thittunanga theriuma...  naan retha rethama vandhi yeduthenkka..
126,Not_troll_196.jpg,ningayellam thirundhave matingala da..
127,Not_troll_197.jpg,yov.. yennaya pechu pesura..??  yenna pesura..??
128,Not_troll_198.jpg,ni yedhukku sirikkurannu theriumda..  iru vunnai vechikkuren..
129,Not_troll_199.jpg,idhaiyella puyalkathula vukkandhu yevanavadhu pori sapduvan avankitta pooi sollu..
130,Not_troll_2.jpg,idhuvarai naan yar vanbu thumbukkum ponadhillai..  naan vundu yen velaiundunnu irukken..
131,Not_troll_20.jpg,idhu namakku thonama pocche..
132,Not_troll_200.jpg,idhu vunakku thevaiya..??
133,Not_troll_201.jpg,kalyanam pannikathennu aambalainga mattume soranga...  indho ponnunga yen appidi solla matingiranga???
134,Not_troll_202.jpg,payapulla yenna solla varudhu...
135,Not_troll_203.jpg,No Captions
136,Not_troll_204.jpg,AFTER REJECTED ON INTERVIEW...      poda nium vun velaium....
137,Not_troll_205.jpg,ni yaarunnu yenakku therium.  naan yarunu vunakku theirum..  naana rendu perum yarungiradhu indha vurukke therium..
138,Not_troll_206.jpg,ada poya irukkura prachanaila idhu vera..
139,Not_troll_207.jpg,idhellam over lollu...
140,Not_troll_208.jpg,andha paradhesi mattum yen kaila kedachaan..
141,Not_troll_209.jpg,No Captions
142,Not_troll_21.jpg,kadandha 2 madhangalaga ovoru naalum yenadhu kanavil karunaanadhi varugirar vaiko petti
143,Not_troll_210.jpg,yennai pathu yenda andha kelvi ketta??
144,Not_troll_211.jpg,yenna namma perai TAG pannirukanunga..
145,Not_troll_212.jpg,aaii... vera yedhavadhu kelvi irukka..??
146,Not_troll_213.jpg,No Captions
147,Not_troll_214.jpg,adhana da?  adhe dhaan!
148,Not_troll_215.jpg,yenna da morappu...
149,Not_troll_216.jpg,96 paridhabangal    kamachi..!!   yenaga..!!!
150,Not_troll_217.jpg,yenakku  vunmela dhaan sandhegam..
151,Not_troll_218.jpg,yenakku apidiye rendu numisham thalaiye suthiruchu...
152,Not_troll_219.jpg,naanu yevalavu neramdhaan valikkadha maariye nadipen..
153,Not_troll_22.jpg,yennada ketta..??
154,Not_troll_220.jpg,rightu saithaan cyclela varudhu...
155,Not_troll_221.jpg,naan yedhukkuya night 12 manikku sudukattukku ponum??
156,Not_troll_222.jpg,yellam oru vilambaram dhaan...
157,Not_troll_223.jpg,No Captions
158,Not_troll_224.jpg,No Captions
159,Not_troll_225.jpg,yenna oru villathanam
160,Not_troll_226.jpg,indha padai podhuma..? innum konjam venumma...??
161,Not_troll_227.jpg,paatri...
162,Not_troll_228.jpg,vungala maari oru friend kadaikka naan romba koduthu vechirukkanu...
163,Not_troll_229.jpg,indha group stronga irukkura maadhiri namma vuravum stronga irukkaum...
164,Not_troll_23.jpg,aiyo  amma peii..
165,Not_troll_230.jpg,happy birthday vadively ..     thankyou maami..   hihihi...
166,Not_troll_231.jpg,yenakku vara kovathukku vungalai...
167,Not_troll_232.jpg,vuhhh...
168,Not_troll_233.jpg,payapulla nalladhane irundhaan...
169,Not_troll_234.jpg,naarapaya  paduthuranya yennaiya..
170,Not_troll_235.jpg,naam yarukku yenna thingu seithom... yen namakku mattum ivaaru nadakkiradhu..
171,Not_troll_236.jpg,thamasu.. thamasu...
172,Not_troll_237.jpg,idhu kiriminal paya pullaiyache...
173,Not_troll_238.jpg,yenga irundhuda varinga ningayellam..
174,Not_troll_239.jpg,apa varattumapa.. aduttha panjathula meet pannuvom..
175,Not_troll_24.jpg,indha lollu dhana venguradhu..
176,Not_troll_240.jpg,odukkan maari minjiya vechikkitu pesura pecha paaru..
177,Not_troll_241.jpg,pesama pooriya illa vailaye vettava??
178,Not_troll_242.jpg,yennama ipidi panringa
179,Not_troll_243.jpg,kabali teasera kaalanu per maathi pottutangalo?
180,Not_troll_244.jpg,hansikka photovai Dpyaga vaithirukku aaiya idhudhanaam..
181,Not_troll_245.jpg,poi polappa parungaiya..
182,Not_troll_246.jpg,nerla pathu palagura ponungalaye namba mudiyala ivanga yella yepidi dhaan facebook love panrangaloo..
183,Not_troll_247.jpg,anne avasarapadadhinga... adhuva irundhalum pesi thithukkuvom..
184,Not_troll_248.jpg,vunakkuyellam manasatchiye illaiya..??
185,Not_troll_249.jpg,sollaveilla..
186,Not_troll_25.jpg,theriudhu ni mudu..
187,Not_troll_250.jpg,naan kovama irukken ! yaarum yenkitta pesadhinga...
188,Not_troll_251.jpg,No Captions
189,Not_troll_252.jpg,ooralavukku dhaan porumai kappen.. 
190,Not_troll_253.jpg,yenna kodumaida idhu...
191,Not_troll_254.jpg,yengala samalikkave mudiayalalaa..
192,Not_troll_255.jpg,ramsanukku biriyani kepangale!!
193,Not_troll_256.jpg,sambalam yengama tharainga! leave podama velaikku mattum correcta varasolrainga...
194,Not_troll_257.jpg,yenkittaum sonnanuvale..
195,Not_troll_258.jpg,yenkutla vijay tv varadhuda...   yennai vitturungada.
196,Not_troll_259.jpg,ssshaba mudiyala...
197,Not_troll_26.jpg,dei yenakku veri varadhukkulla ingairundhu poiduda...
198,Not_troll_260.jpg,innum yenna seiya kathirukangaloo...
199,Not_troll_261.jpg,sari thozhi...
200,Not_troll_262.jpg,I don't like! bloody fools! nonsense...
201,Not_troll_263.jpg,sir koluppai pathingala..??
202,Not_troll_264.jpg,No Captions
203,Not_troll_265.jpg,No Captions
204,Not_troll_266.jpg,idhellam oru jockaa..?? apadiye oodi poidu..
205,Not_troll_267.jpg,shshabha... thanga mudiyala..
206,Not_troll_268.jpg,paavam avare confuse aaitaru..
207,Not_troll_269.jpg,"fan, mixcy mela kai vecha modha deadbody ni dhaan da.."
208,Not_troll_27.jpg,ippayellam nalladhuke kaalam illaa...
209,Not_troll_270.jpg,"cunakku mattum yenna thaniya vetthalai, pakku vechu solluvangala..??  poi polappa paaru.."
210,Not_troll_271.jpg,yenakku apave therirum ipidiyellam nadakkumnu..
211,Not_troll_272.jpg,pudinga sir avanai... pudichi jailla podunga sir
212,Not_troll_273.jpg,onnume puriyalaiye
213,Not_troll_274.jpg,oruvela ivaru selfie paithiyama iruparoo??
214,Not_troll_275.jpg,adhepidi mappu kila vulundhalum misaila mannu ottadha maariye pesura..
215,Not_troll_276.jpg,yedho sambavam nadandhirukku..
216,Not_troll_277.jpg,happy fake idgal thinam valthukkal!
217,Not_troll_278.jpg,andha bayam irukkatum..
218,Not_troll_279.jpg,janga Recharge panna kasaiyavadhu koduda..  vera Network matthikkuren.
219,Not_troll_28.jpg,good morning..
220,Not_troll_280.jpg,sooru dhaane thingura...
221,Not_troll_281.jpg,naan inikki nalla moodula irukkuradhaala ni thappichi... podaa podaa...
222,Not_troll_282.jpg,ippa puriudhuda?
223,Not_troll_283.jpg,No Captions
224,Not_troll_284.jpg,No Captions
225,Not_troll_285.jpg,yeri midhichennu vai!  area vanguradhilla!  moocha vida vanga mudiyaadhu...
226,Not_troll_286.jpg,oruvela love failureah irukkumo...
227,Not_troll_287.jpg,ippave kanna katudhe...
228,Not_troll_288.jpg,kirrr....  kirrrr......
229,Not_troll_289.jpg,ipave kanna kattudhe
230,Not_troll_29.jpg,dei performance panna viduda...
231,Not_troll_290.jpg,nattukku ippo idhu romba mukkiyam..
232,Not_troll_291.jpg,ippo ni yenna dhaan sollavara
233,Not_troll_292.jpg,semma kandula irukken...
234,Not_troll_293.jpg,appuram sagala! savukiyama???
235,Not_troll_294.jpg,vunga judgement romba thappu...
236,Not_troll_295.jpg,vun manasu yenna kalla??
237,Not_troll_296.jpg,inimel ipidi post poduviya...
238,Not_troll_297.jpg,"yerumamadu maadhiri valandhiruppan aaana, innum balloon kooda olunga vudha theriyadhu.."
239,Not_troll_298.jpg,iruppa oru positionla innukuren...
240,Not_troll_299.jpg,sambalam vara innum oru vaaram aagume... adhukkulla yen kai arikkudhu??
241,Not_troll_3.jpg,adichadhe police dhaanam sithappu
242,Not_troll_30.jpg,aaaavvv........
243,Not_troll_300.jpg,No Captions
244,Not_troll_301.jpg,velangidum..
245,Not_troll_302.jpg,"aduttha jenmathulayaavadhu,  manushana porangada..!"
246,Not_troll_303.jpg,No Captions
247,Not_troll_304.jpg,No Captions
248,Not_troll_305.jpg,idhellam pakka kudadhunnu dhaanya shivaji kikkiramave pooi sendhutaru..
249,Not_troll_306.jpg,saamy thayavu seidhu yen sambalathula mattum kai vecchidadhinga!!!
250,Not_troll_307.jpg,ivaru kannadhasam peran karutthu solla vandhutaaru..
251,Not_troll_308.jpg,inbox varathinga...  naan apidipattava illa!
252,Not_troll_309.jpg,poludhanaikku yedhaiyavadhu panjayatha iluthukittu irukkuradhu..
253,Not_troll_31.jpg,manasa thetthikonga boss..
254,Not_troll_310.jpg,asinga padutthitangale anne!
255,Not_troll_311.jpg,idhu konjam overa irukke..
256,Not_troll_312.jpg,"january- jallikattu prachanai :  2017 ipidi dhaan poikittu irukku           december-neet prachanai, vivasaayi prachanai, meethen prachanai, meenavar prachanai, kadhiramangalam prachanai  :   aaahaaa  indha varucham romba sirappa vechi senjiduchee.."
257,Not_troll_313.jpg,aaniye pudunga vendam...
258,Not_troll_314.jpg,idhellam porandha annaike kallipaal vuthi kondrirundhaaal ippadi pannuma..
259,Not_troll_315.jpg,aiyoo..   mudiyala..
260,Not_troll_316.jpg,thangal adutha thalaimuraikaaga poradum than sondhanaattu makkalaiye suttukollum aatchi dhaan makkalaatchiyaa..??
261,Not_troll_317.jpg,night mulukka phonekku charge pottum 1% kuda yeralaiyennu paartha switch podama vitturukkene...
262,Not_troll_318.jpg,"kadavul, pagavannu sollittu ipidi andha sillaiyave thiruduringale vekkama illa...."
263,Not_troll_319.jpg,idhellam yenga poi mudiyepogudhoo..
264,Not_troll_32.jpg,yenkitta sonna adhe poii..
265,Not_troll_320.jpg,paithiyam pudichidum pollirukke..
266,Not_troll_321.jpg,i am speaking no cross speaking!!
267,Not_troll_322.jpg,No Captions
268,Not_troll_323.jpg,vun postkku ❤ poduren.. yen postkku nium ❤ poodu.. sariya.. 😂
269,Not_troll_324.jpg,very very nice!!!
270,Not_troll_325.jpg,vunna ipidiyellam pesasolli yaaru sollikkudukkura..??
271,Not_troll_326.jpg,ahh  brandhi...
272,Not_troll_327.jpg,idhellam vera level...
273,Not_troll_328.jpg,thank you..
274,Not_troll_329.jpg,idhu nalla irukke..  hihi..
275,Not_troll_33.jpg,vungalukkuyellam vekkama illa..??
276,Not_troll_330.jpg,aama ivaru periya kappal viyabari poda...
277,Not_troll_331.jpg,No Captions
278,Not_troll_332.jpg,vusura vanguradhukkune irukkanunga..
279,Not_troll_333.jpg,No Captions
280,Not_troll_334.jpg,greese tappavai yeppadi odhaicha..
281,Not_troll_335.jpg,pada yen vendru..
282,Not_troll_336.jpg,paarithu pala naatkal aairuchi.. nalla irukkiriya thozhi ?
283,Not_troll_337.jpg,namakku raksha bandhanukku kairu kattakuda oru ponnu illaye...
284,Not_troll_338.jpg,anike sonnen yevanavadhu ketingala..
285,Not_troll_339.jpg,namma vaye thirakkakudadhu....
286,Not_troll_34.jpg,innu sambalam podama irukkangale...
287,Not_troll_340.jpg,vaai pilakka vaitha padhivu...
288,Not_troll_341.jpg,nammalaiye overtake panniruvaar pola...
289,Not_troll_342.jpg,ni patra vaitha neruppu onru patri yeriya vunnaikkekkum.  ni vidhaittha vinaiyellam vunnai arukka kathirukkum
290,Not_troll_343.jpg,innimel post poduviya..??
291,Not_troll_344.jpg,masula kaadhal mannannu ninappu...
292,Not_troll_345.jpg,dei vara vara vunga word yellam romba bad ah irukku da..
293,Not_troll_346.jpg,avanavan nilala manidhargal thanga mudiumanu aaraichi pannikittu irukanga  ivanunga yennadanna nilala saibhabha mugam theriudhunnu kumpittikittu irukkanunga..
294,Not_troll_347.jpg,yenna vulagame amaidiya irukku...
295,Not_troll_348.jpg,ivan thollai thanga mudiyalada saamy...
296,Not_troll_349.jpg,nnama vaaiya thirandha vambu varume...
297,Not_troll_35.jpg,goiyaala ni en kaila dhaanda murder aagapora..
298,Not_troll_350.jpg,vunakku like um kidayadhu  onnum kidaiyadhu vudhaipadharkul oodi vidu..
299,Not_troll_351.jpg,adaadaa! ivalavu naala yengada irundinga...
300,Not_troll_352.jpg,indha approch yenakku romba pidichirukku.. hi.. hi..
301,Not_troll_353.jpg,yeppa magarasa Corey Anderson ni nalla irukkanumya...
302,Not_troll_354.jpg,aama ipa inga yena nadandhuchi..
303,Not_troll_355.jpg,adengappa yevalavu kuttam..  inaikku likes yegiridum..
304,Not_troll_356.jpg,yenya inikkinnu ipidi uyira vangura...
305,Not_troll_357.jpg,LIKE vanguradhukku naan yennena avadharam yedukka vendiyadha irukku... mudiyalada samy...
306,Not_troll_358.jpg,vunaiyellam irakkapattu vittukittu irukenda...
307,Not_troll_359.jpg,buildup pabromo pila viduromo naama solradhai naalu per nambuna sari...
308,Not_troll_36.jpg,naarappayaligala!  nannaripayalungala!
309,Not_troll_360.jpg,namakku yedhukku indha vetti bandha..
310,Not_troll_361.jpg,No Captions
311,Not_troll_362.jpg,phor. aamam phor..
312,Not_troll_363.jpg,andha panaiya kodu... innaikku ivan mandhaiya polandhuduren..
313,Not_troll_364.jpg,post poduviya?  ilainga!   yaarukachu like comment?   illainga!   ponunga inbox pakka?  andha vadaiye aagadhunga!   pinna yena maithukku ni facebookla irukkanum??
314,Not_troll_365.jpg,gurunadha...!!!
315,Not_troll_366.jpg,yenna karumandhiram appda idhu?
316,Not_troll_367.jpg,mosam poitomya mosam poitom...
317,Not_troll_368.jpg,yenga ingairundha 2017 ai kaanom...
318,Not_troll_369.jpg,oru naalaikku yethanai selfieda yeduthu delete pannuva??? 
319,Not_troll_37.jpg,yenna feelinga?? illa feelinganu kekkuren...
320,Not_troll_370.jpg,yedho kaja puyal varuthunnu solrainga.. mmmm...  namma vuruku yennaikku puyal vandhirukku... naama thonguvom
321,Not_troll_371.jpg,yenna gappu.! oohoo indha gap dhaan yenakku vekkapoora aapa..??
322,Not_troll_372.jpg,No Captions
323,Not_troll_373.jpg,ivan paadiya thudhiyai kavanithira..??
324,Not_troll_374.jpg,yenda yedha DP pottalum haha pottu kadupethuringa
325,Not_troll_375.jpg,adhukku yenna ipa..
326,Not_troll_376.jpg,vunga arivai nenacha yenakku aanandhakaneera varudhu..
327,Not_troll_377.jpg,ippa mattum kathudha adhu palli..!!
328,Not_troll_378.jpg,oh idhan vishiyama
329,Not_troll_379.jpg,aiyo payandhu varudhunga bro!
330,Not_troll_38.jpg,idhellam naama vandha maaligailaye parthachu!
331,Not_troll_380.jpg,yennaiye sindhikka vechittane...
332,Not_troll_381.jpg,yennaiya tag pannitu ningaale pesikittu irukingale da..
333,Not_troll_382.jpg,idha polapukku nandukittu sagalam..
334,Not_troll_383.jpg,yenda yen...
335,Not_troll_384.jpg,ipo pesu... idhelam naan vasandha maaligailaye paaithuten..
336,Not_troll_385.jpg,naama innum kilambave illai adhukulla red alerta???
337,Not_troll_386.jpg,1000 ruva vangunadhukke indha scene podurandhale.. innu modiyoda 15 lacham vangitanganna ivangala kailaye pudikka mudiyadhu polaye...
338,Not_troll_387.jpg,yeppa paaru thamasu..
339,Not_troll_388.jpg,aiyoo wanted ah vandhu naane sikitane..
340,Not_troll_389.jpg,aadhenna? vuppumaanna vungalukku avalavu ilakkaramava poccha...
341,Not_troll_39.jpg,innaikku ore vettu renda polandhuduren...
342,Not_troll_390.jpg,thambi.. oru manisan poi sollalam aana yekkar kankkulellam pesakkudadhu..
343,Not_troll_391.jpg,yaaravadhu kelvi ketta naama thogura maadhiri nadichidanum
344,Not_troll_392.jpg,yenna idhu vinodamana uyirinama irukke..
345,Not_troll_393.jpg,vungalukku yennadhaan pirachannai..
346,Not_troll_394.jpg,vunakkellam yennada mariyadhai... poda sonnapayale..
347,Not_troll_395.jpg,adengappa..
348,Not_troll_396.jpg,idhe velaiya dhaan alaiurana..??
349,Not_troll_397.jpg,vunnaiya ninaikkumbodhu yen nejellam aadaikkudhu..
350,Not_troll_398.jpg,yennaikku yen sinathirku sinnapinnam aavirgal yendru theriyavillai...
351,Not_troll_399.jpg,jangu jakku jadhakku jakku jangu jakku jaa!
352,Not_troll_4.jpg,Eating mutton! Happy Sunday!
353,Not_troll_40.jpg,inaikki thingakilamaiya! ini aaru naal velaikku poganumnu ninachale mandai yellam pichikidhe...
354,Not_troll_400.jpg,yenna oru villatthanam..
355,Not_troll_401.jpg,ni oorama ninnu fightah vedikkapaaru...
356,Not_troll_402.jpg,dei yennakku merdar panradhula powder podura madhiri...
357,Not_troll_403.jpg,aama ivaru periya jilla collectoru... yengalai solla vandhutaru..
358,Not_troll_404.jpg,dei!  andha aruvaala yedu!
359,Not_troll_405.jpg,yenangada! groupla aatam jashthiya irukku??
360,Not_troll_406.jpg,No Captions
361,Not_troll_407.jpg,No Captions
362,Not_troll_408.jpg,alutthamaana padhivu
363,Not_troll_409.jpg,aiyaiyooo..
364,Not_troll_41.jpg,boss... yenga poringa?
365,Not_troll_410.jpg,nammala illai! vera yaraiyo solanga...
366,Not_troll_411.jpg,ivanunga yenna ingaiye pattaraiya pottutanunga...
367,Not_troll_412.jpg,manisanada ninngalam..
368,Not_troll_413.jpg,yaar yaaro nanban yendru yamandha nenjamvundu...
369,Not_troll_414.jpg,inboxkku varadhu puravu ambalaingalave irukkudhu... chaa..
370,Not_troll_415.jpg,inimel ipidi post potta..  kondai irukku mandai irukkadhu...
371,Not_troll_416.jpg,No Captions
372,Not_troll_417.jpg,vun panatthukku yen panatthukkujodi pottukkuvoma jodi..
373,Not_troll_418.jpg,yaaradi indha hero??
374,Not_troll_419.jpg,adadadaaa...   pindriye maa
375,Not_troll_42.jpg,kaalaila kumbiduranunga madhiyam dhidaduranunga...
376,Not_troll_420.jpg,No Captions
377,Not_troll_421.jpg,No Captions
378,Not_troll_422.jpg,adapavingala.. naan yenna  paavam pannen vungalukku
379,Not_troll_423.jpg,poi solringa..
380,Not_troll_424.jpg,No Captions
381,Not_troll_425.jpg,yennada mind idhu... manangetta  mind...
382,Not_troll_426.jpg,sandaila munna pinna irundhalum savundu jashthiya irukkumda...
